CENSUS_TRACT_ID,CITY
160602,Chelsea
160601,Chelsea
160501,Chelsea
160400,Chelsea
160300,Chelsea
160200,Chelsea
160101,Chelsea
160502,Chelsea
342400,Everett
342300,Everett
342201,Everett
342202,Everett
342102,Everett
342500,Everett
342101,Everett
342600,Everett
339200,Medford
339300,Medford
339400,Medford
339500,Medford
339600,Medford
339700,Medford
339802,Medford
339801,Medford
339900,Medford
340000,Medford
340100,Medford
339100,Medford
356500,Arlington
356602,Arlington
356601,Arlington
356400,Arlington
356702,Arlington
356702,Arlington
356701,Arlington
356300,Arlington
356100,Arlington
350103,Somerville
350200,Somerville
350104,Somerville
351403,Somerville
351404,Somerville
351500,Somerville
350700,Somerville
350800,Somerville
350600,Somerville
350500,Somerville
350900,Somerville
350400,Somerville
351000,Somerville
350300,Somerville
351100,Somerville
351204,Somerville
351203,Somerville
351300,Somerville
354300,Cambridge
354600,Cambridge
354900,Cambridge
355000,Cambridge
354800,Cambridge
354700,Cambridge
354400,Cambridge
354200,Cambridge
354500,Cambridge
354000,Cambridge
354100,Cambridge
353600,Cambridge
353700,Cambridge
353900,Cambridge
353800,Cambridge
352900,Cambridge
353500,Cambridge
353400,Cambridge
353000,Cambridge
352800,Cambridge
352700,Cambridge
352500,Cambridge
353300,Cambridge
353200,Cambridge
353101,Cambridge
352400,Cambridge
353101,Cambridge
353102,Cambridge
352300,Cambridge
352600,Cambridge
352200,Cambridge
352102,Cambridge
352101,Cambridge
370102,Watertown
370101,Watertown
370202,Watertown
370400,Watertown
370201,Watertown
370300,Watertown
401200,Brookline
401100,Brookline
400600,Brookline
400700,Brookline
401000,Brookline
400500,Brookline
400400,Brookline
400800,Brookline
400100,Brookline
400200,Brookline
400300,Brookline
340101,Malden
341102,Malden
341300,Malden
341400,Malden
341600,Malden
341500,Malden
341700,Malden
341800,Malden
341902,Malden
341901,Malden
170300,Revere
170200,Revere
170100,Revere
170400,Revere
170601,Revere
170702,Revere
170501,Revere
170502,Revere
170701,Revere
170800,Revere
418200,Quincy
418003,Quincy
418102,Quincy
418004,Quincy
418101,Quincy
418002,Quincy
417901,Quincy
417701,Quincy
417100,Quincy
417200,Quincy
417502,Quincy
417501,Quincy
417601,Quincy
417602,Quincy
417702,Quincy
417801,Quincy
417802,Quincy
417300,Quincy
417400,Quincy
